Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6,Joint 7
0.107,0.503,-0.088,-2.205,-1.6,2.6,-0.824,0.002
0.107,0.503,-0.088,-2.205,-1.6,2.6,-0.824,0.002
0.107,0.503,-0.088,-2.204,-1.6,2.6,-0.824,0.002
0.107,0.503,-0.088,-2.204,-1.6,2.6,-0.824,0.002
0.107,0.503,-0.088,-2.203,-1.6,2.6,-0.824,0.002
0.107,0.503,-0.088,-2.203,-1.6,2.6,-0.824,0.002
0.107,0.503,-0.088,-2.193,-1.6,2.6,-0.824,0.002
0.107,0.503,-0.088,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.513,-0.088,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.514,-0.088,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.514,-0.088,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.515,-0.088,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.515,-0.088,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.516,-0.088,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.516,-0.088,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.516,-0.087,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.516,-0.087,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.516,-0.086,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.516,-0.086,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.516,-0.085,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.516,-0.085,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.516,-0.084,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.516,-0.084,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.516,-0.083,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.516,-0.083,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.516,-0.082,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.516,-0.082,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.516,-0.081,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.516,-0.081,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.516,-0.08,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.516,-0.08,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.516,-0.079,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.516,-0.079,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.517,-0.079,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.517,-0.079,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.518,-0.079,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.518,-0.079,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.519,-0.079,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.519,-0.079,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.519,-0.078,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.519,-0.078,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.519,-0.077,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.519,-0.077,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.52,-0.077,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.52,-0.077,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.521,-0.077,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.521,-0.077,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.521,-0.076,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.521,-0.076,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.521,-0.075,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.521,-0.075,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.521,-0.074,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.521,-0.074,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.522,-0.074,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.522,-0.074,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.523,-0.074,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.523,-0.074,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.523,-0.073,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.523,-0.073,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.523,-0.072,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.523,-0.072,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.523,-0.071,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.523,-0.071,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.523,-0.07,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.523,-0.07,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.523,-0.069,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.523,-0.069,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.524,-0.069,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.524,-0.069,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.524,-0.068,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.524,-0.068,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.524,-0.067,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.524,-0.067,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.525,-0.067,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.525,-0.067,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.525,-0.066,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.525,-0.066,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.525,-0.065,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.525,-0.065,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.525,-0.064,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.525,-0.064,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.525,-0.063,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.525,-0.063,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.525,-0.062,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.525,-0.062,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.525,-0.061,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.525,-0.061,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.525,-0.06,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.525,-0.06,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.525,-0.059,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.525,-0.059,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.525,-0.058,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.525,-0.058,-2.183,-1.6,2.6,-0.824,0.002
0.107,0.525,-0.057,-2.183,-1.6,2.6,-0.824,0.002
